┌────────────┬──────────┬──────────┬───────────────────────┬──────────────────────┬──────────┬──────────┬──────────────────────┬─────────────────────┐
│    date    │ min_prcp │ max_prcp │       avg_prcp        │       sum_prcp       │ min_snow │ max_snow │       avg_snow       │      sum_snow       │
│    date    │  double  │  double  │        double         │        double        │  double  │  double  │        double        │       double        │
├────────────┼──────────┼──────────┼───────────────────────┼──────────────────────┼──────────┼──────────┼──────────────────────┼─────────────────────┤
│ 2013-10-14 │      0.0 │     0.02 │  0.005714285714285714 │                 0.04 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-15 │      0.0 │     0.02 │  0.002857142857142857 │                 0.02 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-16 │      0.0 │     0.02 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-17 │      0.0 │     0.02 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-18 │      0.0 │     0.02 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-19 │      0.0 │     0.02 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-20 │      0.0 │     0.02 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-21 │      0.0 │     0.01 │ 0.0014285714285714286 │                 0.01 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-22 │      0.0 │     0.01 │ 0.0014285714285714286 │                 0.01 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-23 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-24 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-25 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
