┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2014-02-25 │  0.004285714285714286 │
│ 2014-02-26 │  0.004285714285714286 │
│ 2014-02-27 │  0.004285714285714286 │
│ 2014-02-28 │                  0.01 │
│ 2014-03-01 │                  0.01 │
│ 2014-03-02 │  0.005714285714285714 │
│ 2014-03-03 │  0.005714285714285714 │
│ 2014-03-04 │  0.005714285714285714 │
│ 2014-03-05 │  0.005714285714285714 │
│ 2014-03-06 │  0.005714285714285714 │
│ 2014-03-07 │                   0.0 │
│ 2014-03-08 │                   0.0 │
│ 2014-03-09 │  0.049999999999999996 │
│ 2014-03-10 │  0.049999999999999996 │
│ 2014-03-11 │  0.049999999999999996 │
│ 2014-03-12 │  0.049999999999999996 │
│ 2014-03-13 │  0.049999999999999996 │
│ 2014-03-14 │  0.049999999999999996 │
│ 2014-03-15 │  0.049999999999999996 │
│ 2014-03-16 │   0.13142857142857142 │
│ 2014-03-17 │   0.13142857142857142 │
│ 2014-03-18 │   0.13142857142857142 │
│ 2014-03-19 │   0.13142857142857142 │
│ 2014-03-20 │   0.13142857142857142 │
│ 2014-03-21 │   0.13142857142857142 │
│ 2014-03-22 │   0.13142857142857142 │
│ 2014-03-23 │                   0.0 │
│ 2014-03-24 │                   0.0 │
│ 2014-03-25 │  0.005714285714285714 │
│ 2014-03-26 │    0.2642857142857143 │
│ 2014-03-27 │   0.31428571428571433 │
│ 2014-03-28 │    0.3371428571428572 │
│ 2014-03-29 │    0.3371428571428572 │
│ 2014-03-30 │    0.3371428571428572 │
│ 2014-03-31 │   0.34714285714285714 │
│ 2014-04-01 │   0.37142857142857144 │
│ 2014-04-02 │   0.11285714285714286 │
│ 2014-04-03 │   0.06285714285714286 │
│ 2014-04-04 │    0.1142857142857143 │
│ 2014-04-05 │   0.16285714285714287 │
│ 2014-04-06 │   0.16285714285714287 │
│ 2014-04-07 │   0.15285714285714286 │
│ 2014-04-08 │   0.12285714285714287 │
│ 2014-04-09 │   0.12285714285714287 │
│ 2014-04-10 │   0.12285714285714287 │
│ 2014-04-11 │   0.04857142857142858 │
│ 2014-04-12 │   0.10142857142857142 │
│ 2014-04-13 │   0.10857142857142857 │
│ 2014-04-14 │   0.10857142857142857 │
│ 2014-04-15 │   0.10857142857142857 │
│ 2014-04-16 │   0.10857142857142857 │
│ 2014-04-17 │   0.10857142857142857 │
│ 2014-04-18 │   0.10857142857142857 │
│ 2014-04-19 │  0.008571428571428572 │
│ 2014-04-20 │ 0.0014285714285714286 │
│ 2014-04-21 │ 0.0014285714285714286 │
│ 2014-04-22 │  0.004285714285714286 │
│ 2014-04-23 │   0.13571428571428573 │
│ 2014-04-24 │   0.13571428571428573 │
│ 2014-04-25 │   0.13571428571428573 │
│ 2014-04-26 │    0.1385714285714286 │
│ 2014-04-27 │    0.8485714285714285 │
│ 2014-04-28 │    0.8657142857142857 │
│ 2014-04-29 │    0.8628571428571429 │
│ 2014-04-30 │    0.7428571428571429 │
│ 2014-05-01 │    0.7457142857142857 │
│ 2014-05-02 │    0.7457142857142857 │
│ 2014-05-03 │    0.7414285714285713 │
│ 2014-05-04 │   0.03142857142857143 │
│ 2014-05-05 │   0.07285714285714286 │
│ 2014-05-06 │   0.07857142857142858 │
│ 2014-05-07 │                  0.12 │
│ 2014-05-08 │   0.12142857142857143 │
│ 2014-05-09 │   0.12142857142857143 │
│ 2014-05-10 │   0.12142857142857143 │
│ 2014-05-11 │   0.12285714285714286 │
│ 2014-05-12 │   0.08571428571428572 │
│ 2014-05-13 │                   0.3 │
│ 2014-05-14 │   0.24714285714285714 │
│ 2014-05-15 │   0.24285714285714285 │
│ 2014-05-16 │   0.24285714285714285 │
│ 2014-05-17 │   0.24285714285714285 │
│ 2014-05-18 │    0.2414285714285714 │
│ 2014-05-19 │    0.2542857142857143 │
│ 2014-05-20 │   0.16428571428571428 │
│ 2014-05-21 │    0.2214285714285714 │
│ 2014-05-22 │    0.2214285714285714 │
│ 2014-05-23 │    0.2214285714285714 │
│ 2014-05-24 │    0.2214285714285714 │
│ 2014-05-25 │    0.2214285714285714 │
│ 2014-05-26 │   0.18714285714285714 │
│ 2014-05-27 │   0.05714285714285715 │
│ 2014-05-28 │ 0.0071428571428571435 │
│ 2014-05-29 │ 0.0071428571428571435 │
│ 2014-05-30 │ 0.0071428571428571435 │
│ 2014-05-31 │  0.024285714285714282 │
│ 2014-06-01 │  0.024285714285714282 │
│ 2014-06-02 │   0.14857142857142858 │
│ 2014-06-03 │   0.14857142857142858 │
│ 2014-06-04 │   0.14142857142857143 │
│ 2014-06-05 │   0.14142857142857143 │
│ 2014-06-06 │                  0.37 │
│ 2014-06-07 │   0.35285714285714287 │
│ 2014-06-08 │   0.35571428571428576 │
│ 2014-06-09 │   0.24142857142857146 │
│ 2014-06-10 │    0.4242857142857143 │
│ 2014-06-11 │    0.4242857142857143 │
│ 2014-06-12 │    0.4242857142857143 │
│ 2014-06-13 │   0.19571428571428573 │
│ 2014-06-14 │   0.19571428571428573 │
│ 2014-06-15 │   0.19285714285714287 │
│ 2014-06-16 │   0.20428571428571426 │
│ 2014-06-17 │   0.02142857142857143 │
│ 2014-06-18 │   0.02142857142857143 │
│ 2014-06-19 │   0.02142857142857143 │
│ 2014-06-20 │   0.02142857142857143 │
│ 2014-06-21 │   0.02142857142857143 │
│ 2014-06-22 │  0.032857142857142856 │
│ 2014-06-23 │  0.021428571428571432 │
│ 2014-06-24 │  0.021428571428571432 │
